VID,"Device Code",Imei,"Model GPS",Cellnumber,"Company GROUP",Devicetime,Servertime,"Last Location",Comment
309015,L-8021-ZV,352848023180512,FM-32,08553204615,309:{5},"2021-07-09 09:24:07.121","2021-07-09 09:25:05.15","CPU Reset Recomendation","Jeruk Purut - Pasuruan - Jawa Timur"
309055,N-9347-TH,352848027662234,FM-42,08553205655,309:{1},"2021-07-22 10:23:15.374","2021-07-22 10:24:22.057",Update,
309001,L-9874-AL,356307046420328,FM-32,08553204601,309:{1},"2021-07-22 10:24:58.58","2021-07-22 10:25:19.169",Update,
309064,N-8678-TD,356307048794191,FM-1202+J,08553204623,309:{4}," null"," null"," Tidak ada data di RAW"
309054,L-9487-AK,352094089802943,FM-42,08553205654,309:{4},"2021-07-22 07:28:01","2021-07-22 08:23:11.137",Update,
309019,N-9442-TH,352093083272855,FMA,08553204619,309:{9},"2021-07-22 10:17:03","2021-07-22 10:17:20.49",Update,
309059,"N 9322 TH",356307046419528,FM-1200,085851201328,309:{2},"2021-06-29 10:25:50.61","2021-06-29 10:26:04.248","CPU Reset Recomendation","Gempol - Pasuruan - Jawa Timur"
309065,N-9861-TE,356173063429554,FM-1200,081575097877,309:{4},"2021-07-22 10:20:22.67","2021-07-22 10:20:24.987",Update,
309057,W-9438-TH,356307048802200,FM-1202+J,08553205658,309:{6},"2021-07-22 10:13:16","2021-07-22 10:13:30.095",Update,
309023,L-9331-A,356173062857805,FM-32,081514012458,309:{4},"2021-07-22 09:26:47","2021-07-22 09:27:09.723",Update,
309063,N-8615-TD,356307048773682,FM-1202+J,08551838375,309:{4},"2021-07-22 10:22:34","2021-07-22 10:22:42.138",Update,
309060,B-9695-BCU,356307048849821,FM-1202+J,081132275025,309:{7},"2021-07-22 09:58:17","2021-07-22 09:58:36.368",Update,
309004,N-9627-T,356307048836596,FM-32,08553204604,309:{1},"2021-07-22 10:15:04","2021-07-22 10:15:07.734",Update,
309017,N-9440-TH,352093083266717,FMA,08553204617,309:{9},"2021-07-22 10:03:48","2021-07-22 10:04:11.183",Update,
309045,N-9329-TH,352094086269872,FM-32,081514007265,309:{9},"2021-07-22 08:23:28","2021-07-22 08:23:33.484",Update,
309040,B-9431-Y,357454075082238,FM-32,081132264119,309:{7},"2021-07-22 09:36:04","2021-07-22 09:36:25.553",Update,
309062,N-8536-TD,356307048819451,FM-1202+J,08158171378,309:{4},"2021-07-22 09:56:58.45","2021-07-22 09:57:13.403",Update,
309044,B-9193-BRU,356173061968058,FM-1202,08553205644,309:{7},"2021-07-22 10:09:30","2021-07-22 10:09:45.539",Update,
309021,"N 9554 TH",356307048932619,FM-32,081519764746,309:{13},"2021-07-22 10:26:42","2021-07-22 10:26:52.103",Update,
309016,N-8782-TL,356307046143029,FM-32,08553204616,309:{6},"2021-07-22 10:15:01","2021-07-22 10:15:19.551",Update,
309024,N-9910-TH,352848024257046,FM-32,08553204624,309:{4},"2021-07-22 10:21:15.33","2021-07-22 10:21:47.89",Update,
309033,N-8783-TL,352848024119394,FM-32,08553204633,309:{1;6},"2021-07-22 10:21:56.171","2021-07-22 10:22:05.797",Update,
309008,"N 9844 TE",352848023019538,FM-32,08553204608,309:{6},"2021-07-22 09:33:27.321","2021-07-22 09:36:11.011",Update,
309032,H-1455-LA,352848024119253,FM-32,08553204632,309:{6},"2021-07-22 10:21:50.391","2021-07-22 10:23:39.179",Update,
309034,H-8099-GA,352848024117703,FM-32,08553204634,309:{1;6},"2021-07-22 10:23:01.34","2021-07-22 10:23:48.019",Update,
309061,N-9795-TM,356307048932601,FM-1202+J,08155265521,309:{1;4},"2021-07-22 10:08:46","2021-07-22 10:10:18.315",Update,
309030,N-9384-TH,357454076229960,FMA,08553204630,309:{13},"2021-07-22 10:00:55.05","2021-07-22 10:00:58.583",Update,
309066,N-9824-TE,356173063431824,FM-1200,08157613438,309:{4},"2021-07-22 10:25:06.12","2021-07-22 10:25:09.742",Update,
309067,L-1779-MD,357454073179382,FM-1202,081519764742,309:{9},"2021-07-22 09:50:40","2021-07-22 09:50:53.389",Update,
309041,B-9774-TCI,352093083161108,FM-32,081132275064,309:{7},"2021-07-15 11:50:33","2021-07-15 11:50:36.629","CPU Reset Recomendation","Penjaringan - Penjaringan - Jakarta Utara"
309002,N-8407-TD,356173062950196,FM-32,08553204602,309:{1},"2021-07-22 10:26:04.66","2021-07-22 10:26:06.949",Update,
309014,L-8076-Z,352848022876748,FM-32,08553204614,309:{2},"2021-07-22 10:26:05.67","2021-07-22 10:26:36.912",Update,
309031,H-1360-B,352848024120152,FM-32,08553204631,309:{6},"2021-02-10 09:02:29","2021-02-10 09:04:03","CPU Reset Recomendation","Kawasan Industri Candi - Ngaliyan - Semarang"
309020,L-9996-AS,352094088248106,FM-32,08553204620,309:{4},"2021-07-22 07:26:24","2021-07-22 08:23:12.823",Update,
309069,L-9386-J,867060031264555,FM-36,081132020934,309:{9},"2021-07-22 10:06:23","2021-07-22 10:06:42.649",Update,
309006,L-8129-YA,356307046142492,FM-32,08553204606,309:{1},"2021-07-21 09:31:34.08","2021-07-21 09:32:24.626","CPU Reset Recomendation","Gempol - Pasuruan - Jawa Timur"
309012,L-8942-B,352848022853374,FM-32,08553204612,309:{2},"2021-07-08 17:00:26.45","2021-07-08 17:00:59.116","CPU Reset Recomendation","Jeruk Purut - Pasuruan - Jawa Timur"
309003,L-9876-AL,352848023056969,FM-32,08553204603,309:{1}," null"," null"," Tidak ada data di RAW"
309046,L-8065-ZF,352848024110583,FM-32,08553205646,309:{4},"2021-04-21 08:27:56.091","2021-04-21 08:28:13.634","CPU Reset Recomendation","Basirih Selatan - Banjarmasin Selatan - Banjarmasin"
309026,N-8370-TD,352093082754994,FM-32,08553204626,309:{1}," null"," null"," Tidak ada data di RAW"
309035,N-9385-TH,352848024255248,FM-32,08553204635,309:{6}," null"," null"," Tidak ada data di RAW"
309053,N-8369-TD,356173062968156,FM-42,08553205653,309:{3},"2021-07-09 09:25:55.02","2021-07-09 09:25:58.426","CPU Reset Recomendation","Gempol - Pasuruan - Jawa Timur"
VID,"Device Code",Imei,"Model GPS",Cellnumber,"Company GROUP",Devicetime,Servertime,"Last Location",Comment
1044,1044,867060031270529,R1,081132275057,1:{1},"2021-03-04 10:47:24","2021-03-04 06:00:08.449205","CPU Reset Recomendation","Penjaringan Sari - Rungkut - Surabaya"
511163,261,352094088721854,FMA,081514018460,511:{0;10},"2021-08-04 10:34:54","2021-08-04 10:36:00.399",Update,
1778,1778,778778,R1,1,1:{1}," null"," null"," Tidak ada data di RAW"
395004,"BIS. 4 EA-7378-A",357454075059939,FM-1202,081519764614,2:{0}," null"," null"," Tidak ada data di RAW"
511185,280,864403043541243,FM-36,081514013549,511:{1},"2021-08-04 11:26:45","2021-08-04 11:27:03.165",Update,
1036,1036,352094089986126,FMA,08551838492,1:{8},"2020-12-04 11:45:44","2020-12-04 12:40:23","CPU Reset Recomendation","Penjaringan Sari - Rungkut - Surabaya"
345021,L-8788-UB,356173062859694,FM-1202+J,081514007245,345:{1},"2021-08-04 05:05:19","2021-08-04 05:05:33.955",Update,
501006,C2511,356307046114566,FM-1200,081132264117,501:{0;15},"2021-06-05 16:08:48","2021-06-05 16:15:49.011","CPU Reset Recomendation","Pergudangan Bumi Maspion - Benowo - Romokalisari"
355004,"T 40",352848029420516,FM-42,081553914214,355:{2},"2021-06-30 09:59:38.14","2021-06-30 10:00:09.626","CPU Reset Recomendation","Perak Barat - Krembangan - Surabaya"
503018,"J 07",352848027510102,FM-32,08553206234,1:{5}," null"," null"," Tidak ada data di RAW"
547001,W-9007-UG,357454076235140,FM-1202,081514388959,547:{1},"2021-08-04 11:20:24","2021-08-04 11:20:44.766",Update,
523031,R55,357454075078699,FM-1202,08113457236,523:{2},"2021-08-04 11:05:55","2021-08-04 11:06:17.158",Update,
511171,267,352093082786665,FMA,08551838399,511:{0;1},"2021-08-04 11:25:07","2021-08-04 11:25:24.983",Update,
349004,L-9069-VV,352848026482097,FM-42,081514389097,349:{1},"2021-08-04 11:26:49.464","2021-08-04 11:27:07.753",Update,
345020,L-9952-UE,356307048826399,FM-1202+J,081515245381,345:{1},"2021-08-04 11:17:30.51","2021-08-04 11:17:53.264",Update,
521003,Ageng,352848026298055,FM-42,081553914283,521:{2},"2021-07-22 09:35:31.548","2021-07-22 09:35:57.028","CPU Reset Recomendation","Ngadiboyo - Nganjuk - Jawa Timur"
331004,W-8389-NT,352848023142306,FM-32,08553204374,331:{1},"2021-08-04 11:20:22.401","2021-08-04 11:20:54.17",Update,
309024,N-9910-TH,352848024257046,FM-32,08553204624,309:{4},"2021-08-04 11:28:11.951","2021-08-04 11:28:41.818",Update,
541018,F10-5,357454072898842,FM-1202,08158319367,541:{4},"2021-01-04 09:58:09","2021-07-16 08:29:35.796","CPU Reset Recomendation","Perak Timur - Pabean Cantian - Surabaya"
501016,C2509,356173066169066,FM-32,08553201836,501:{8},"2021-08-04 10:43:53","2021-08-04 10:44:07.459",Update,
309056,L-8119-YZ,352848020817819,FM-42,08553205656,1:{6}," null"," null"," Tidak ada data di RAW"
511156,174,1,FM-1202,08155265430,1:{6}," null"," null"," Tidak ada data di RAW"
309025,L-8034-WD,352848024126894,FM-32,08553204625,309:{4},"2021-06-30 07:11:59.09","2021-06-30 07:12:27.482","CPU Reset Recomendation","Gempol - Pasuruan - Jawa Timur"
501004,E152,352094088664641,FM-1202,081515270714,501:{12},"2021-07-11 13:45:00","2021-07-11 13:45:06.843","CPU Reset Recomendation","Serangan - Denpasar - Bali"
375001,B-10,356307047601405,FM-1202+J,081553470423,375:{1}," null"," null"," Tidak ada data di RAW"
375001,B-10,356307048828973,FM-1202+J,081553470423,375:{1},"2021-08-04 11:22:01.8","2021-08-04 11:29:03.959",Update,
391001,391001,356173061967621,FM-1202+J,081515274364,391:{1},"2021-07-30 13:45:18.22","2021-07-30 13:45:21.836","CPU Reset Recomendation","Manyarsidorukun - Gresik - Jawa Timur"
301037,L-9962-N,352848029520802,FM-42,08553202286,301:{13},"2021-08-04 11:28:29.902","2021-08-04 11:28:56.016",Update,
309023,L-9331-A,356173062857805,FM-32,081514012458,309:{4},"2021-08-04 10:44:06","2021-08-04 10:44:09.803",Update,
541031,F2.5-1,357454073120329,FM-1202,081519764462,541:{4},"2021-08-04 11:05:30","2021-08-04 11:15:50.215",Update,
349001,L-8229-BO,352848027609045,FM-32,081553914301,349:{1},"2021-08-04 11:26:31.531","2021-08-04 11:27:07.575",Update,
501033,E161,356307046149711,FM-1200,08553210866,501:{12},"2021-08-04 11:25:40","2021-08-04 11:26:04.399",Update,
501026,F288,352848027688353,FM-32,08164298077,501:{5}," null"," null"," Tidak ada data di RAW"
503024,"F 08",357454076232238,FMA,081514380710,503:{1}," null"," null"," Tidak ada data di RAW"
309068,H-1567-WA,352094087546138,FMA,081514007262,309:{6},"2021-02-26 09:17:20","2021-02-26 09:17:30","CPU Reset Recomendation","Kawasan Industri Candi - Ngaliyan - Semarang"
511087,91,352848021513482,FM-32,08553206607,511:{12},"2021-07-04 10:07:37.31","2021-07-23 14:32:25.195","CPU Reset Recomendation","Manukan Wetan - Tandes - Surabaya"
31081,31081,357454076233426,FM-1200,000,31:{2;40},"2021-06-18 15:44:42","2021-06-18 15:44:45.348","CPU Reset Recomendation","Penjaringan Sari - Rungkut - Surabaya"
301036,DICOPOT,352848029420540,FM-42,08553202285,1:{6}," null"," null"," Tidak ada data di RAW"
511012,"Ex. 132",352848027925854,FM-32,08553210922,1:{5}," null"," null"," Tidak ada data di RAW"
511101,L-14,352094089441395,FM-1200,08553206612,1:{6}," null"," null"," Tidak ada data di RAW"
301015,L-8039-P,356307045611141,FM-1200,08164298109,1:{6}," null"," null"," Tidak ada data di RAW"
301022,"Pipin MTR",352848021651548,FM-32,08165489227,1:{6}," null"," null"," Tidak ada data di RAW"
100006,100006,357454075042554,FM-1202,"081519764698\t",1:{5}," null"," null"," Tidak ada data di RAW"
315005,L-1027-CN,357454073122523,FM-1202,081519764502,1:{6}," null"," null"," Tidak ada data di RAW"
511106,C.08,357454076232311,FM-32,08553206625,511:{13},"2021-07-23 11:18:06","2021-07-23 11:18:49.703","CPU Reset Recomendation","Driyorejo - Gresik - Jawa Timur"
301041,L-8997-AB,356307046147533,FM-1200,08553202290,301:{13},"2021-08-03 17:30:47.46","2021-08-03 17:31:14.221","CPU Reset Recomendation","Asemrowo - Asemrowo - Surabaya"
331013,L-9217-GN,356307046420898,FM-1200,08553206458,331:{4},"2021-08-04 11:31:14","2021-08-04 11:31:18.129",Update,
369008,L-1462-VK,864403041514481,FM-36,081554100502,369:{1},"2021-08-04 11:29:03","2021-08-04 11:29:06.702",Update,
523007,"GPS RUSAK",356307047689657,FM-42,08113433922,1:{6}," null"," null"," Tidak ada data di RAW"
357008,"168 [W-9087-NV]",357454073084327,FM-1202,081132020490,357:{1},"2021-08-04 11:30:23","2021-08-04 11:30:26.423",Update,
357008,"168 [W-9087-NV]",0,FM-1202,081132020490,357:{1}," null"," null"," Tidak ada data di RAW"
503026,"F 36",352094089192287,FMA,081514380719,503:{1}," null"," null"," Tidak ada data di RAW"
511002,DZ-152,352848025099629,FM-32,08553210902,511:{2},"2021-07-08 06:44:22.511","2021-07-08 06:44:32.449","CPU Reset Recomendation","Manukan Wetan - Tandes - Surabaya"
503009,"F 05",353976013219674,FM-41,08553204091,1:{6}," null"," null"," Tidak ada data di RAW"
511072,154,352848026215919,FM-32,08553206577,1:{6}," null"," null"," Tidak ada data di RAW"
385004,L-8457-AY,356307048764475,FM-1202+J,081515274863,385:{4}," null"," null"," Tidak ada data di RAW"
301023,xx,352848021701509,FM-32,08553202282,1:{5}," null"," null"," Tidak ada data di RAW"
511099,139,352848027926761,FM-32,08553206622,1:{6}," null"," null"," Tidak ada data di RAW"
511177,273,352093083119023,FMA,081514017718,511:{1;10},"2021-06-23 07:56:12","2021-06-23 07:56:31.659","CPU Reset Recomendation","Serangan - Denpasar - Bali"
385015,L-9151-BC,356307048774086,FM-1202+J,081515274903,385:{4},"2021-08-04 11:24:58.93","2021-08-04 11:25:44.27",Update,
31151,L-1002-EK,356307048822471,FM-1202+J,081515246032,31:{30},"2021-08-04 10:25:55.31","2021-08-04 10:26:00.636",Update,
541074,F3-23,352093083272830,FMA,081514017648,541:{4}," null"," null"," Tidak ada data di RAW"
397005,W-9195-NO,357454076232832,FM-1202,081514388982,397:{1}," null"," null"," Tidak ada data di RAW"
541036,PC200-07,357454073176792,FM-1202,081519764856,541:{3}," null"," null"," Tidak ada data di RAW"
31071,L-1677-QT,356307045896767,FM-1200,081554100463,31:{12},"2021-08-04 11:25:12.14","2021-08-04 11:25:16.052",Update,
511112,L-01,357454073172437,FM-1200,08158171430,511:{14},"2021-08-04 11:28:10","2021-08-04 11:28:48.804",Update,
503001,"Kalmar F36",353976013125186,FM-41,08553201856,1:{6}," null"," null"," Tidak ada data di RAW"
345015,L-9253-UU,357454075008423,FM-1202,081514013832,345:{1},"2021-08-04 11:32:34","2021-08-04 11:32:50.088",Update,
516008,"TB 01",356173062952184,FM-1202+J,081542002617,516:{1}," null"," null"," Tidak ada data di RAW"
1001,1001,352848024086049,FM-32,089681607506,1:{1}," null"," null"," Tidak ada data di RAW"
395006,"BIS. 6 EA-7798-A",357454075060267,FM-1202,081519764553,2:{0}," null"," null"," Tidak ada data di RAW"
511142,193,357454073124404,FM-1202,081519764470,511:{12},"2021-08-04 11:14:06","2021-08-04 11:15:40.38",Update,
515047,"GPS RUSAK",352848024004851,FM-42,08113370556,1:{5}," null"," null"," Tidak ada data di RAW"
345018,,356307047601629,FM-1202+J,085851201310,1:{5}," null"," null"," Tidak ada data di RAW"
501007,C2501,352848027906599,FM-42,08553210864,1:{5}," null"," null"," Tidak ada data di RAW"
511014,161,352848025231560,FM-32,08553210924,511:{3}," null"," null"," Tidak ada data di RAW"
511174,270,352093082784801,FMA,081514007595,511:{1},"2021-08-04 11:33:07","2021-08-04 11:33:11.815",Update,
515029,"PC200 07",352848029797566,FM-42,08113390771,1:{6}," null"," null"," Tidak ada data di RAW"
503008,"Kalmar 09",353976013492917,FM-41,08553204085,1:{6}," null"," null"," Tidak ada data di RAW"
317002,Z-9007-LG,353976013098318,FM-41,08553201784,317:{3}," null"," null"," Tidak ada data di RAW"
347001,S-9081-T,352848027468038,FM-42,08553210986,347:{0}," null"," null"," Tidak ada data di RAW"
503028,F-01,352094089716978,FMA,081514387273,503:{1}," null"," null"," Tidak ada data di RAW"
501017,E60,352094089698929,FMA,08553201837,1:{6}," null"," null"," Tidak ada data di RAW"
511016,158,352848026250007,FM-32,08553210926,511:{3},"2021-05-09 10:59:20.29","2021-05-09 10:59:44.608","CPU Reset Recomendation","Manukan Wetan - Tandes - Surabaya"
337014,"DK-9383 IA",352848025272739,FM-32,08553205914,1:{6}," null"," null"," Tidak ada data di RAW"
331006,W-9649-NB,352848023142496,FM-32,08553204376,331:{2},"2021-08-03 12:22:06.03","2021-08-03 12:22:42.252","CPU Reset Recomendation","Waru - Waru - Sidoarjo"
309054,L-9487-AK,352094089802943,FM-42,08553205654,309:{4},"2021-08-04 10:57:12","2021-08-04 10:57:40.231",Update,
511147,220,357454073163865,FM-1200,081519764492,511:{3},"2021-08-02 08:26:59","2021-08-04 09:31:53.103","CPU Reset Recomendation","Manukan Wetan - Tandes - Surabaya"
301035,B-9773-FH,352848029528961,FM-42,08553202284,301:{13},"2021-08-04 11:31:20.89","2021-08-04 11:32:58.259",Update,
515038,"PC200 10",352848029513583,FM-42,085851201358,1:{6}," null"," null"," Tidak ada data di RAW"
205006,L-9636-H,356307045968558,FM-1200,08158171418,205:{1},"2021-08-04 11:35:07.83","2021-08-04 11:35:25.815",Update,
503015,"F 01",352848022490508,FM-32,08553209147,1:{6}," null"," null"," Tidak ada data di RAW"
511074,109,352848026214201,FM-32,08553206579,1:{6}," null"," null"," Tidak ada data di RAW"
395008,"BIS. 8 EA-7379-A",357454076235108,FM-1202,08155257478,2:{0}," null"," null"," Tidak ada data di RAW"
541042,TRL-01,357454075062917,FM-1202,081519764611,541:{5}," null"," null"," Tidak ada data di RAW"
301024,xx,352848024110708,FM-32,08553202283,1:{5}," null"," null"," Tidak ada data di RAW"
345023,L-8690-UE,356307048821994,FM-1202+J,081515274124,1:{6}," null"," null"," Tidak ada data di RAW"
511098,168,352848021671157,FM-32,08553206621,1:{6}," null"," null"," Tidak ada data di RAW"
511010,170,352848025188992,FM-32,08553210910,1:{6}," null"," null"," Tidak ada data di RAW"
309055,N-9347-TH,352848027662234,FM-42,08553205655,309:{1},"2021-08-04 11:34:14.179","2021-08-04 11:34:21.319",Update,
503003,"Kalmar 08",353976013249614,FM-41,08553201802,1:{6}," null"," null"," Tidak ada data di RAW"
511020,165,352848025221256,FM-32,08553210930,1:{6}," null"," null"," Tidak ada data di RAW"
317003,Z-9007-KX,352848024262178,FM-32,08553201787,317:{4}," null"," null"," Tidak ada data di RAW"
511100,146,352848026176657,FM-32,08553206623,511:{2}," null"," null"," Tidak ada data di RAW"
301025,L-8037-PY,356307046110705,FM-1200,08165489220,1:{6}," null"," null"," Tidak ada data di RAW"
503019,"J 08",356307046420518,FM-32,08553206235,503:{4},"2021-05-19 15:36:42.43","2021-05-19 15:37:03.365","CPU Reset Recomendation","Perak Barat - Krembangan - Surabaya"
317012,"C 2507",356307046110481,FM-1200,08553201812,317:{8}," null"," null"," Tidak ada data di RAW"
389004,L-9754-UR,356173062962878,FM-1202+J,081515275024,389:{1}," null"," null"," Tidak ada data di RAW"
503010,"Kalmar 10",352093083264365,FMA,081514008339,503:{2}," null"," null"," Tidak ada data di RAW"
301027,N-9742-GA,356307045724662,FM-1200,08164298110,1:{6}," null"," null"," Tidak ada data di RAW"
369002,L-9627-NE,352848024292795,FM-42,081554100502,1:{6}," null"," null"," Tidak ada data di RAW"
541017,SL-01,357454072806563,FM-1202,08158320272,541:{5},"2021-08-04 11:38:46","2021-08-04 11:39:07.705",Update,
357007,"166 [W-9046-NV]",356307046114269,FM-1200,081132020503,357:{1},"2021-08-04 11:36:47","2021-08-04 11:36:50.286",Update,
511162,260,352094089366006,FMA,081514380737,511:{4},"2021-07-08 19:29:28","2021-07-08 19:29:45.712","CPU Reset Recomendation","Manukan Wetan - Tandes - Surabaya"
511094,129,352848027984687,FM-32,08553206617,1:{6}," null"," null"," Tidak ada data di RAW"
309052,N-9667-TH,352848028602908,FM-42,08553205652,1:{6}," null"," null"," Tidak ada data di RAW"
523020,EX200-1A,356307047691562,FM-1202+J,08113370580,1:{6}," null"," null"," Tidak ada data di RAW"
309028,L-9318-WE,352848024167336,FM-32,08553204628,309:{6}," null"," null"," Tidak ada data di RAW"
317044,Z-9007-KA,356307045740353,FM-1200,085851201348,317:{6}," null"," null"," Tidak ada data di RAW"
317028,Z-9007-HV,352848027880935,FM-32,08553205575,317:{6}," null"," null"," Tidak ada data di RAW"
521019,"HITACHI LONGAN",352094086738199,FMA,081514389086,521:{2}," null"," null"," Tidak ada data di RAW"
511178,274,352093082799908,FMA,081514007462,511:{1},"2021-08-04 11:31:24","2021-08-04 11:31:43.683",Update,
301005,xx,352848021691114,FM-32,08553202281,1:{5}," null"," null"," Tidak ada data di RAW"
541001,"PC78-02 ",356173063740596,FM-1202,081574085621,541:{3},"2021-02-11 16:07:53","2021-02-11 16:08:07","CPU Reset Recomendation","Pradahkali Kendal - Dukuh Pakis - Surabaya"
511154,172,357454075062842,FM-1202,081519764798,1:{6}," null"," null"," Tidak ada data di RAW"
309009,N-8403-TB,352848023019777,FM-32,08553204609,1:{6}," null"," null"," Tidak ada data di RAW"
309050,N-9255-TB,352094089192626,FM-32,08553205650,1:{6}," null"," null"," Tidak ada data di RAW"
301004,"Edy SBY",352848026214219,FM-32,08165489231,1:{6}," null"," null"," Tidak ada data di RAW"
205004,L-9069-W,356307046422845,FM-1200,081515274772,205:{1}," null"," null"," Tidak ada data di RAW"
301028,L-1255-NL,356307045626743,FM-1200,08165489217,1:{6}," null"," null"," Tidak ada data di RAW"
309029,N-9767-TI,352848024177806,FM-32,08553204629,309:{6}," null"," null"," Tidak ada data di RAW"
389002,"G 70",356173061758863,FM-1202+J,081515242402,389:{1}," null"," null"," Tidak ada data di RAW"
501031,L-9556-UZ,353976012678375,FM-42,08553205582,501:{7}," null"," null"," Tidak ada data di RAW"
357014,"164 [W-8749-NF]",357454073172312,FM-1202,081132020492,357:{1},"2021-08-04 11:43:32","2021-08-04 11:43:49.691",Update,
317030,Z-9007-LF,356307046115050,FM-1200,08553205577,317:{4}," null"," null"," Tidak ada data di RAW"
501013,Z-9998-HD,353976013859412,FM-41,08553201833,501:{7}," null"," null"," Tidak ada data di RAW"
501036,B106,356173062892232,FM-42,08553211020,501:{11}," null"," null"," Tidak ada data di RAW"
511066,130,352094086879605,FM-32,08553206571,511:{7},"2021-08-04 09:36:13","2021-08-04 09:36:27.867",Update,
503014,"J 04",352848022488361,FM-32,08553209146,503:{4}," null"," null"," Tidak ada data di RAW"
357004,"169 [W-9089-NV]",356307045617627,FM-1200,081131129926,357:{1},"2021-08-04 11:44:59","2021-08-04 11:45:20.428",Update,
301039,L-8130-RN,356307045617403,FM-1200,08553202288,301:{13},"2021-08-04 08:33:15.88","2021-08-04 08:55:18.547",Update,
541044,F5-11,357454075059483,FM-1202,08155265495,541:{4}," null"," null"," Tidak ada data di RAW"
309030,N-9384-TH,357454076229960,FMA,08553204630,309:{13},"2021-08-04 11:31:00","2021-08-04 11:31:20.39",Update,
319002,"L 9798 VJ",352094088550097,FMA,081132242055,319:{1},"2021-08-04 11:25:06","2021-08-04 11:25:23.944",Update,
511073,182,352848027847025,FM-32,08553206578,511:{0;8},"2021-06-22 16:33:22.941","2021-06-22 16:36:41.329","CPU Reset Recomendation","Keniten - Ponorogo - Jawa Timur"
541023,P01,357454071273815,FM-1202,08158321316,541:{5},"2021-08-04 07:43:26","2021-08-04 07:50:01.684",Update,
503013,"J 02",352848022483768,FM-32,08553209145,1:{5}," null"," null"," Tidak ada data di RAW"
511134,186,356173063752732,FM-1202,08157615645,511:{3},"2021-08-04 06:52:02.98","2021-08-04 06:52:37.389",Update,
511023,A01,352848026183539,FM-32,08553210933,511:{4}," null"," null"," Tidak ada data di RAW"
501025,"E151 Kbt",352094088668147,FMA,081514008165,501:{0},"2021-07-13 01:45:29","2021-07-13 01:53:55.336","Battery Power Low (66,4956)"," -  - "
317005,Z-9007-HT,356307045648226,FM-1200,085851201343,317:{4}," null"," null"," Tidak ada data di RAW"
331008,W-9210-NW,357454076231487,FM-32,08553204378,331:{2},"2021-08-04 11:43:27","2021-08-04 11:43:46.335",Update,
357005,"167 [W-9080-NV]",356307045617213,FM-1200,081132021194,357:{1},"2021-08-04 11:41:56","2021-08-04 11:42:10.624",Update,
