VID,Devicecode,Model,Imei,Cellnumber,Provider
202029,B-9208-CXR,FM-1202,352093082977090,8551838315,Matrix
202050,B-9215-CXR,FMA,352093082977298,81574081495,Matrix
202004,B-9204-CXR,FM-1202+J,356173062883413,81542001669,Matrix
202115,B-9513-CXR,FM-1202,357454073127571,81519764478,Matrix
202017,B-9237-CXR,FM-1202,356173066179875,81542002619,Matrix
202351,B-9058-CXS,FMA,352094088659138,81514020652,Matrix
202256,W-8195-UT,FMA,352094089717000,81514388990,Matrix
202402,B-9008-CXS,FMA,352093082634451,81514007552,Matrix
202416,B-9230-CXS,FMA,352094089879420,81514017191,Matrix
202096,B-9503-CXR,FMA,352094089440702,81132023141,Halo
202584,B-9533-CXS,FM-36,867060031247246,81132023076,Halo
202274,B-9862-CXR,FM-1202,357454076231032,81514389018,Matrix
202326,B-9949-CXR,FMA,352094087472889,81514389067,Matrix
202378,B-9020-CXS,FMA,352094087854680,81514019380,Matrix
202026,B-9324-CXR,FM-1202,356173066170841,8551838380,Matrix
202489,B-9667-CXR,FM-36,864403041502627,8551838347,Matrix
202401,B-9041-CXS,FMA,352093082631028,81514007327,Matrix
202392,B-9027-CXS,FMA,352094088763336,81514389183,Matrix
202079,B-9249-CXR,FM-1202,356173063291939,8157615724,Matrix
202478,B-9442-CXS,FM-36,864403041454845,8113694982,Halo
201171,B-9527-CXR,FMA,352093082647370,81132023087,Halo
201210,W-8573-UT,FM-1202,357454076229192,81132264118,Halo
202594,B-9299-CXS,FM-36,864403041444481,81132023744,Halo
202437,B-9272-CXS,FM-36,867060034751954,81514016159,Matrix
201036,L-9302-UF,FM-42,352848020675035,81132241185,Halo
202320,B-9887-CXR,FMA,352094089029448,81514389063,Matrix
201164,B-9408-CXR,FMA,352093083268093,81132242045,Halo
202241,B-9843-CXR,FM-1202,357454076237732,81132023140,Halo
202413,B-9421-CXR,FMA,352093082946269,81514007382,Matrix
202123,B-9645-CXR,FM-1202,357454073163725,81132020911,Halo
202484,B-9425-CXS,FMA,352094089030149,81132242046,Halo
202018,B-9242-CXR,FMA,352093082627729,8158131089,Matrix
202593,B-9201-CXR,FM-36,864403041460602,81132264111,Halo
202088,B-9289-CXR,FM-1200,356173063725498,8551862017,Matrix
202319,B-9906-CXR,FMA,352094089028564,81514389225,Matrix
202019,B-9240-CXR,FM-1202,356173066165734,81132023074,Halo
202235,B-9729-CXR,FM-1202,357454076231321,81514007385,Matrix
202350,B-9593-CXR,FMA,352094088659104,81132023752,Halo
202045,B-9400-CXR,FM-1202,356173066162988,81132023083,Halo
201037,B-9295-CXR,FM-42,352848020725764,8553223722,Matrix
202092,B-9460-CXR,FM-1200,356173065063500,81132261475,Halo
201138,W-9422-UQ,FMA,352094089966052,81132020507,Halo
201139,W-9426-UQ,FM-1202,356173065869658,81132006561,Halo
202284,B-9753-CXR,FMA,352094088327264,81514389030,Matrix
202159,B-9759-CXR,FM-1202,357454075045250,81519764643,Matrix
202544,B-9543-CXS,FM-36,864403043505511,8551838434,Matrix
202259,B-9756-CXR,FM-1202,357454076229085,81514388976,Matrix
202385,B-9035-CXS,FMA,352093080122947,81132242068,Halo
202135,B-9674-CXR,FM-1202,357454073247700,81519764816,Matrix
202216,B-9758-CXR,FM-1202,357454076233657,8155257435,Matrix
202360,B-9022-CXS,FMA,352094086280465,81514020981,Matrix
202118,B-9651-CXR,FM-1202,0,81519764482,Matrix
202118,B-9651-CXR,FM-1202,357454073259044,81519764482,Matrix
202117,B-9650-CXR,FM-1202,357454073261594,81519764521,Matrix
202117,B-9650-CXR,FM-1202,0,81519764521,Matrix
202176,B-9416-CXR,FM-1202,357454075062370,81519764617,Matrix
202179,B-9693-CXR,FM-1202,357454074976570,81132006566,Halo
202119,B-9649-CXR,FM-1202,357454073161752,81519764738,Matrix
202393,B-9045-CXS,FMA,352094088745838,81514389184,Matrix
202232,B-9860-CXR,FM-1202,357454076233418,81132023728,Halo
202237,B-9372-CXR,FM-1202,356173066155024,8113694981,Halo
202158,B-9735-CXR,FM-1202,357454075006401,81519764660,Matrix
202377,B-9011-CXS,FMA,352094088316184,81514007503,Matrix
202167,B-9755-CXR,FM-1202,357454075059335,81519764576,Matrix
202169,B-9634-CXR,FM-1202,357454075062222,81519764578,Matrix
202162,B-9754-CXR,FM-1202,357454075056315,81519764667,Matrix
202406,B-9016-CXS,FMA,352093082648485,81514007526,Matrix
202163,B-9751-CXR,FM-1202,357454075061109,81519764663,Matrix
202460,B-9270-CXS,FM-36,867060034752739,81132021193,Halo
202066,B-9211-CXS,FMA,352093082650887,81574081223,Matrix
202341,B-9914-CXR,FMA,352094089607748,81514389092,Matrix
202067,B-9233-CXR,FM-1202,356173063481605,81132020518,Halo
202185,B-9749-CXR,FM-1202,357454075205565,81132006552,Halo
202472,B-9431-CXS,FM-36,867060035281811,81514015881,Matrix
202300,B-9411-CXR,FMA,352094089404393,81514388945,Matrix
202122,B-9648-CXR,FM-1202,357454073164194,81132023740,Halo
202293,W-8268-UT,FMA,352094089387119,81132021192,Halo
202217,B-9663-CXR,FM-1202,357454075537652,81514007514,Matrix
202227,B-9809-CXR,FM-1202,357454076229093,81553481852,Matrix
202034,B-9378-CXR,FM-1202,356173066161899,8158171382,Matrix
202148,B-9605-CXR,FM-36,864403041448730,81132275047,Halo
202589,B-9746-CXR,FM-36,867060035327754,81132261469,Halo
201043,L-9650-UB,FM-42,352848020674889,81132242028,Halo
